"PRIORITY","CONFIDENCE","BRAND","SUB_SEGMENT","URL","FOUNDER_NAME","FOUNDER_LINKEDIN","FOUNDER_X","INSTAGRAM","EMAIL","FIT_SIGNAL","PERSONALIZATION_HOOK"
"A","high","Alice Mushrooms","Functional mushroom chocolates (focus/sleep/mood)","https://alicemushrooms.com/","Charlotte Cruze & Lindsay Goodstein","https://www.linkedin.com/in/charlotte-cruze-71455065/","unknown","@alice.mushrooms","enrich","Raised oversubscribed $8M Series A (Sept 2025, led by NewBound, Unilever Ventures, Tiesto) on top of earlier L Catterton/Zac Efron round; revenue went 7-figures yr1 to projected 8-figures 2025. Growth-stage challenger actively scaling DTC + retail (Erewhon, Sprouts) - prime $20-100K/mo ad tier.","Their named SKUs (Brainstorm for focus, Nightcap for sleep) lean heavily on whimsical Alice-in-Wonderland branding and influencer seeding (100-200 influencers at launch with handwritten notes) - but reviews on Thingtesting are polarized on 'does it actually work,' a perfect angle for efficacy-driven UGC creative that shows real users feeling the effect."
"A","high","Brēz","Functional social tonic (microdose THC + lion's mane mushroom)","https://drinkbrez.com","Aaron Nosbisch","https://www.linkedin.com/in/aaronnosbisch/","unknown","@drinkbrez","enrich","Founded 2023, ~$28M revenue in 2024 and projected >$50M in 2025. Founder has publicly stated they spend ~$1M/month on advertising and 'build in public' across Meta, TikTok and Twitter. Squarely in (actually above) the growth-stage paid-social tier and a heavy creative buyer.","Aaron openly talks about spending near $1M/month on ads and 'building Brez in public' on podcasts (High Spirits, Shopify Happy Hour). A note referencing his build-in-public philosophy plus the volume of UGC testimonial creative Brez runs would land directly."
"A","high","Clevr Blends","Instant adaptogenic SuperLattes (coffee/matcha/cacao oat-milk lattes)","https://clevrblends.com","Hannah Mendoza (co-founder/CEO), Roger Coppola (co-founder)","https://www.linkedin.com/in/hannah-mendoza-clevr/","unknown","@clevrblends","enrich","Founded 2018, Santa Barbara CA. Backed by Meghan Markle; viral Oprah moment caused 2-month sellout. Now in Target + DTC with constant seasonal SKU launches (Honey Lavender Matcha, London Fog, Iced Strawberry Matcha). Heavy aesthetic Meta/IG presence typical of a growth-stage DTC spending in the tens of thousands monthly. Smaller than the giants (est. low-8-figure revenue), founder-led.","Their matcha SuperLatte line keeps spinning out limited drops (Iced Strawberry Matcha, Honey Lavender, London Fog) - a clear sign they value fresh creative; a UGC angle showing the 'add water + froth' ritual on these seasonal flavors writes itself."
"A","high","Hiyo","Functional non-alcoholic social tonic (adaptogens + nootropics)","https://drinkhiyo.com","Evan Quinn","unknown","unknown","@drinkhiyo","enrich","Raised ~$20M including a 2025 minority investment from Constellation Brands Ventures; still founder-led and independent. Growing fast in the 'social tonic' category with active DTC + paid social. Mid-tier challenger, well inside the spend band.","Co-founders Evan Quinn and George Youmans started Hiyo after family members were hospitalized with alcohol-related issues - an emotionally rich founder story their ads under-use. Pitching founder-story UGC angles ties directly to their 'The Float' feel-good positioning."
"A","high","Kiala Nutrition (Kiala Greens)","Greens & superfood powder (women-focused)","https://kialanutrition.com","Pete Christel & Jack Szymczak","https://www.linkedin.com/in/pete-christel/","unknown","@kialanutrition","enrich","Founded 2021, Miami-based, 500K+ customers. Markets a flavored greens powder specifically to women, calls itself 'TikTok's #1 Greens' and an Amazon bestseller. Heavy influencer/UGC-driven growth, multiple flavors (Carnival Candy etc). Squarely a growth-stage DTC greens challenger in the target spend tier.","Co-founder Pete Christel posted publicly on LinkedIn about building Kiala from scratch over 2.5 years with Jack Szymczak. Their whole positioning is 'flavors you'll actually crave' aimed at women 18-35 - the brand lives and dies on dessert-flavored greens (Carnival Candy). A perfect candidate for taste-test reaction UGC creative."
"A","high","Kin Euphorics","Adaptogen + nootropic non-alcoholic euphoric drinks","https://www.kineuphorics.com","Jen Batchelor","unknown","unknown","@kineuphorics","enrich","$11M net revenue in 2024 (up ~38% YoY), ~$50M lifetime sales, ~$15M raised, and ran a 2025 DealMaker community raise. Co-founder Bella Hadid drives heavy brand/social content. Classic growth-stage mid-tier - bigger than a hobby brand, smaller than a giant.","Bella Hadid co-founder content carries the brand, but the DTC funnel leans on her face rather than diversified customer UGC. An opener noting the gap between celebrity hero content and scalable customer-testimonial creative is a precise wedge."
"A","high","Live it Up (Super Greens)","Greens & superfood powder","https://letsliveitup.com","Haim Nigri","https://www.linkedin.com/in/haimnigri (verify)","unknown","@letsliveitup","enrich","Single-SKU greens powder (Superfoods Inc. dba Live it Up) positioned as the leading AG1 alternative at ~$1.33/serving. Heavy DTC performance-marketing operation, consistently #1 in 'best AG1 alternative' listicles, strong subscription model. Classic single-hero-product greens challenger in the $20-100K/mo Meta+TikTok tier.","Live it Up is the brand most often crowned the #1 AG1 alternative by dietitians, and runs aggressive price-anchored comparison ads ('half the price of AG1'). Their creative leans hard on side-by-side AG1 comparisons rather than authentic UGC testimonial hooks - a clear creative gap for fresh founder/customer-story UGC. (Note: brand navigated a 2026 Salmonella/moringa recall - sensitivity advised in outreach.)"
"A","high","London Nootropics","Adaptogenic instant coffee blends (Flow/Mojo/Zen - lion's mane, rhodiola, cordyceps, ashwagandha)","https://londonnootropics.com","Zain Peer (co-founder), Shez Shaikh (co-founder)","https://www.linkedin.com/in/zain-peer/","unknown","@londonnootropics","enrich","Founded 2020, London. Appeared on Dragons' Den (secured offers from Deborah Meaden & Sara Davies), now ~20,000 customers/month with strong subscription growth. Founder-led, PR-heavy, clearly running paid acquisition - right in the mid-tier challenger band.","Post-Dragons' Den they leaned into replenishment/subscription (case study: +36% replenishment revenue with Relo) - a retention-minded founder; creative built around the three distinct blends (Flow vs Mojo vs Zen by use-case) would map cleanly onto their existing positioning."
"A","high","Magic Mind","Nootropic + adaptogen productivity shot","https://magicmind.com","James Beshara","https://www.linkedin.com/in/jjbeshara","https://twitter.com/jamesbeshara","@magicmind","enrich","Raised ~$30M total (Series A) and is a heavy DTC paid-social and affiliate/creator advertiser. Active across Meta and YouTube with constant testimonial/UGC creative. Growth-stage challenger in the productivity-shot niche, not a soda giant.","James is a prolific angel/podcaster who tells the '67 investor no's' origin story publicly; Magic Mind leans hard on creator/affiliate UGC. An opener referencing their reliance on creator testimonial shots and offering to systematize fresh AI-UGC angles fits their existing playbook."
"A","high","Moment","Botanical + adaptogen calming/focus drinks ('meditation in a can')","https://drinkmoment.com","Aisha Chottani","https://www.linkedin.com/in/aishachottani","unknown","@drinkmoment","enrich","Founded 2020, HBS-founder-led, DTC-first with strong subscription base and active Meta/TikTok presence. Independent and growth-stage; well-known mid-tier adaptogen drink without giant-scale spend.","Aisha built Moment around South Asian botanicals her family used (ashwagandha, tulsi, ginseng) + L-theanine for 'awake calm.' An opener tying that authentic family-heritage story to founder-led UGC, and noting their 'Drink Your Meditation' brand line, is highly specific."
