email,brand,contact_name,subject,body,finding,confidence,audited,problems,source_url,preorder_app,products_seen
"beer@2ndstoryale.jp","2nd Story Ale Works","","your shipping policy page is blank","2ndstoryale.jp has Timesact installed, a preorder app. But your 配送ポリシー page loads with just contact info and the nav menu. Nothing about when a buyer hears from you next, or what happens if an order runs late.  That's the page people check when they're unsure, and it tells them nothing. The ones who still want an answer write to you instead, one at a time.  Tideover reads each order's real timeline and drafts a reply in your voice for you to approve before anything sends.  I'm looking for a couple of design partners to try it free in exchange for straight feedback. Want me to draft what a reply on one of your orders would say?  — Dylan","Their live shipping policy page (配送ポリシー) at 2ndstoryale.jp/policies/shipping-policy renders with only contact info and the nav menu — no actual shipping timeline or post-purchase communication content.","high","corrected","(d) Unsupported specific: ""runs Timesact, so you've sold something ahead of being in hand before."" Evidence only shows the Timesact app is installed per catalog data. Installed app != preorders actually sold. The AKOIASWIM record in this same batch proves the gap (Timesact installed, preorderCount = 0). Telling a stranger what they have done, wrongly, on line one kills the email. | (d/a) ""Every one of those turns into a support email or DM"" is an absolute claim about their support volume. We have no data on their inbox. Reads as a fabricated stat in prose form.","https://2ndstoryale.jp","Timesact (Shopify)","Umigame  -  350㎖缶 · Umigame · Chameleon Pils"
"partnerships@1shotenergy.com","1 Shot Energy","","your FAQ covers speed, not what happens if it slips","Your FAQ promises 1-2 day fulfillment and 2-6 day transit. It never says what a buyer hears if that slips, beyond a tracking link and a chatbot that can escalate to a person.  An order past that window has no answer waiting for it on your site, so the buyer writes to you.  Tideover reads each order's real timeline and drafts the reassurance reply in your voice, for you to approve before anything sends.  I'm running a free pilot for a few merchants in exchange for candid feedback. Worth a look?  — Dylan","Their live FAQ states a 1-2 business-day fulfillment window plus 2-6 business-day transit, but does not say what a buyer is told if that window is missed, beyond order tracking and a support chatbot.","medium","corrected","(d) ""You're also running Timesact, so you've sold ahead of stock before."" Two failures stacked: the evidence itself flags Timesact as catalog data ""not independently re-verified live,"" and even if installed, it does not establish they have sold ahead of stock. Cut it — the FAQ finding is the verified one and is strong enough alone. | (d/a) ""Every order that runs past its window turns into a support ticket someone answers by hand"" asserts their ticket volume and their internal process. Unknown to us.","https://1shotenergy.com","Timesact (Shopify)","Lychee Splash Energy Chews ft. Gray Zone Warfare® (8 Sleeve Bundle) · Lychee Splash Energy Chews ft. Gray Zone Warfare® (6 Piece Sleeve) · Coyote Brown Bread® Locks (1 Pair of Elastic Laces)"
"erin@2btanned.co.uk","2bTanned","Erin","your shipping policy has no answer for delays","Erin,  Your shipping policy covers same-day dispatch cutoffs and customs fees, but says nothing about what happens if an order runs late or an item is out of stock.  That's the exact moment a buyer emails you instead of waiting, and the page has no answer to point them back to.  Tideover reads each order's real status and drafts the reassurance reply in your voice, for you to approve before it sends, so buyers get an answer without you writing it from scratch.  I'm looking for a design partner to try it free in exchange for straight feedback. Want me to send what a reply on one of your recent orders would look like?  — Dylan","Their live shipping policy page states dispatch cutoffs and customs-fee notes but has no language covering delays, backorders, or out-of-stock items.","medium","corrected","(d/f) ""when you're running the salon and the shop at once"" — nothing in the finding_evidence establishes Erin runs a salon or works both. This is invented biography dressed as familiarity, the exact fake-familiar move the doctrine bans, and it is the kind of guess a real recipient spots instantly. | (d) Domain mismatch worth resolving before send: the contact is @2btanned.co.uk but the body asserts ""2btanned.com's shipping policy"" and the evidence was fetched from 2btanned.com. Rewrite drops the domain assertion; verify the two are the same store before this goes out.","https://2btanned.com","Timesact (Shopify)","8 Minute Tanning Salon Subscription - Wishaw · Black Cherry Sunbed Tanning Cream | Tan Accelerator for Sunbed 200ml · Sweet Apple SPF0 Carrot Oil 100ml - Dry Tanning Oil 100ml"
"abayahhouse@outlook.com","Abayah House","","the gap on your shipping policy page","Abayah House runs on Timesact, a preorder-capable app, but your shipping policy page has no line about what a customer hears from you between checkout and delivery.  That's the gap the ""where is my order"" emails come through, one at a time.  Tideover reads each order's real timeline and drafts a status update in your voice, for you to approve before anything sends. Buyers get an answer, you don't write it from scratch.  I'll run it free as a pilot in exchange for candid feedback. Want me to draft what a day-14 update to one of your customers would look like?  — Dylan","Abayah House uses Timesact (a preorder-enabling Shopify app) yet their shipping policy page and homepage say nothing about post-purchase communication.","medium","corrected","(d) ""with nobody templated to answer them"" claims knowledge of their internal support setup. We fetched two public pages. We do not know what templates or helpdesk they run, and being wrong here reads as bluffing. | Note: the Timesact framing here is correct — ""a preorder-capable app"" states the installed capability without claiming sales history. This is the phrasing the 2nd Story and 1 Shot emails should have used.","https://abayahhouse.com.au","Timesact (Shopify)","Oversized Hoodie Zip Abayah · Aura knit abayah · Layali butterfly Abayah"
"mitica@pecditta.com","Abbigliamento Jessica","Mitica","the gap between order and ship","Mitica,  Your shipping policy tells a customer transit takes 1-3 days in Italy, 6-10 in Europe, once the order ships. It never says when that clock actually starts.  That's the gap where ""did you send it yet"" messages land in your inbox, one at a time.  Tideover reads each order's real status and drafts a reply in your voice, for you to approve before it sends. Those messages get answered without you writing each one by hand.  No cost to try. I'll run a real pilot in exchange for candid feedback. Want me to send what your reply to that message would actually say?  — Dylan","Their shipping policy states transit windows (1-3 days Italy, 6-10 days Europe) but never states when an order is actually dispatched, so a buyer has no way to know if the clock has started.","high","corrected","(d) ""with no template ready to answer them"" asserts their internal process. The evidence covers one public policy page only. Cut the clause; the finding itself (transit windows stated, dispatch clock never stated) is high-confidence and quoted, and carries the email on its own.","https://abbigliamentojessica.com","Timesact (Shopify)","Stivale Aspen · Jeans Teddy · Shorts Tasca Strass"
"gsm@accugolf.us","AccuGOLF","","what a homecourse buyer hears after checkout","Your shipping policy spells out the 2-year limited warranty on simulator packages in detail. It never states a processing time, a lead time, or what a customer hears between placing the order and it arriving.  On a simulator package, that silence is what turns into ""any update?"" calls and emails while gear is in transit.  Tideover reads the real order timeline and drafts a status reply in your voice, for you to approve, so a buyer gets an answer without your team writing one from scratch each time.  Free pilot, in exchange for candid feedback on whether it's useful. Want me to draft what a day-14 update on a simulator order would say?  — Dylan","AccuGOLF's shipping policy details their 2-year warranty at length but states no processing time, lead time, or post-purchase communication commitment, on a storefront that sells a $13,849.99 full simulator system and $2,899-$4,499 projectors.","medium","corrected","(d) The HomeCourse specifics are the weakest link in the batch. The evidence states the product page /products/accugolf-homecourse returned 404, so the only support for HomeCourse being a live product is catalog data. The email then escalates to ""a day-14 update on a HomeCourse order,"" which presumes live HomeCourse orders exist. If it is discontinued, the opening line is wrong to a stranger. | (d) ""On a purchase that size"" leans on the $13,849.99 catalog price, which the live fetch could not confirm. The verified quote says ""golf simulator packages,"" which is enough to signal high ticket without naming a price or a SKU we could not load. | (d) ""that silence is exactly what turns into phone calls and 'any update?' emails"" states their support reality as fact; softened in the rewrite to what the gap invites rather than what is happening.","https://accugolf.us","Timesact (Shopify)","BenQ AK700ST 4000-Lumen 4K Short Throw Laser Golf Simulator Projector · BenQ LK935 5500 Lumen 4K Laser Normal Throw Golf Simulator Projector · Real Feel Golf Mat Country Club Turf"
"love@akoiaswim.com","AKOIASWIM","","your preorder app isn't running any preorders","AKOIASWIM has Timesact's preorder tools installed, but nothing on the store is listed as a preorder right now, and your shipping policy doesn't mention preorder, made-to-order, or backorder anywhere.  That's fine while orders clear inside the 5 business days your policy states. It stops being fine the first time a drop or restock needs real lead time, because that's when ""where is my order"" starts landing in your inbox.  Tideover reads the real order timeline and drafts a reassurance reply in your voice, for you to approve before anything sends, plus a status page instead of a status email.  Free pilot, in exchange for candid feedback. Want me to send what a day-30 reply would look like for you?  — Dylan","AKOIASWIM has a preorder app installed (Timesact) but currently zero live preorder items and no preorder/made-to-order language on its own shipping policy page.","medium","corrected","(d/a) ""That's fine while everything ships in 5-10 days"" is a fabricated number. The evidence says the policy states 5 business days of processing. The ""10"" appears nowhere, and processing is not shipping. Quoting a merchant's own policy back to them with the number changed is the fastest way to lose the reply. | (d) ""nothing on the store is running as a preorder right now"" is absolute but rests on preorderCount = 0 plus an 8-product sample. Softened to what the store listings show. | (d) ""refund requests start landing on your inbox"" predicts a refund problem we have no evidence of; cut.","https://akoiaswim.com","Timesact (Shopify)","Lorreta Dress · Paz Dress · Luca Dress"
"ajtoys.sales@gmail.com","AJ Toys & Books","","the gap after ""more info coming soon""","AJ Toys has live preorders with release dates months out, like the Gundam Card Game Booster (GD07) dated 29/01/2027. Each listing carries the same line: ""THIS ITEM IS A PRE-ORDER AND IS DUE TO RELEASE: [DATE]. More info coming soon!""  That's all the listing tells a buyer about what comes next. They pay, then wait months on a promise of more info later, and the follow-up questions come to you.  Tideover reads each preorder's real timeline and drafts a reassurance reply in your voice, for you to approve before anything sends, plus a status page so buyers can check without emailing.  Free pilot, in exchange for candid feedback. Want me to send what a day-30 reply on one of these boosters would say?  — Dylan","Multiple live preorder listings (Gundam, Digimon, Dragon Ball Super boosters) with release dates months away, each carrying only the placeholder notice ""More info coming soon!"" with no further post-purchase communication described anywhere on the site.","high","corrected","(e) 136 words, over the 130 limit. Rewrite is 125. | (d) ""That's the whole post-purchase experience right now"" overreaches. The evidence covers listing text and one 404 policy URL. It says nothing about the emails they may already send after checkout. Narrowed to what the listing tells a buyer, which is what we actually verified. | (d) ""every follow-up question about it lands in your inbox"" is an absolute claim about their inbox volume. | (b) Cleared, not a violation: the 29/01/2027 and 22/01/2027 dates are their own published release dates, quoted back and attributed to their listings, not a delivery date promised on their behalf. The single exclamation mark sits inside a verbatim quote of their site copy, so it is reported text, not our cadence. Both kept intentionally.","https://ajtoys.co.uk","Timesact (Shopify)","Topps - Flagship Premier League 2026/27 Eco Pack · Topps - Flagship Premier League 2026/27 Multipack · Topps - Flagship Premier League 2026/27 Mega Tin"
"customersupport@akgelblaster.com","AKgelblaster","","the custom-blaster gap in your shipping page","AKgelblaster's shipping policy promises orders go out in 2 working days, then carves out one exception: ""except out of stock or custom upgrade blaster."" The page never says how long that exception takes or what a buyer hears while it's pending.  That's the exact gap where support tickets and ""any update?"" emails build up on a custom build nobody's confirmed a timeline for.  Tideover reads the real order timeline and drafts a reassurance reply in your voice, for you to approve before anything sends, plus a status page instead of a where-is-my-order email.  Running this free for candid feedback right now, no cost. Want me to send what a custom-build reply would look like?  — Dylan","Shipping policy carves out an explicit exception for custom/out-of-stock builds (""except out of stock or custom upgrade blaster"") with zero elaboration on timeline or buyer communication for that case, anywhere on the site.","high","clean","","https://akgelblaster.com","Timesact (Shopify)","High Speed Spring Powered M4 Magazine · Dead Air Mask Mock Suppressor · SI Mod2 Tactical Stock"
"store@alineclothing.com","A  LINE","Diogo","your fall winter 26 preorder page has no ship date","Diogo,  Your Fall Winter 26 collection is live as a preorder, every item shows out of stock, and nothing on the page tells a buyer what happens between checkout and shipping. That gap is where ""where's my order"" emails pile up, and each one either eats support time or turns into a refund request. Tideover reads the real order timeline and drafts a reassurance reply in your voice, you approve before anything sends, and buyers get a status page instead of guessing. I run a free pilot for a handful of preorder stores in exchange for straight feedback. Want me to draft what your day-30 reply to a Fall Winter 26 buyer would look like?  — Dylan","The Fall Winter 26 collection is explicitly labeled PRE-ORDER and every item on it shows OUT OF STOCK, but no product or collection page states a ship date, lead time, or what a buyer should expect between checkout and shipping.","high","clean","","https://alineclothing.com","Timesact (Shopify)","Dark Cedar Scented Candle · Luna Slip Dress · Satin Maxi Dress"
